experiment,run,scenario,file_size_bytes,chunk_size_bytes,window_size,timeout_s,max_retries,delay_mean_ms,delay_std_ms,loss_probability,original_data_packets,total_data_packets,retransmitted_packets,ack_packets_sent,ack_packets_received,data_packets_lost,ack_packets_lost,useful_data_bytes,data_bytes_sent,ack_bytes_sent,total_bytes_sent,duration_s,throughput_bps,network_throughput_bps,mean_rtt_s,efficiency_ratio
file_size_curve,1,A,1048576,1024,4,1.0,100,10,0.0,0.0,1024,1024,0,1024,1024,0,0,1048576,1048576,40960,1089536,5.119999999999935,204800.0000000026,212800.00000000268,0.019999999999999747,0.5
file_size_curve,1,B,1048576,1024,4,1.0,100,50,0.0,0.1,1024,1501,477,1344,1212,157,132,1048576,1537024,53760,1590784,151.0999999999999,6939.6161482461985,10528.021178027802,0.13655913978494602,0.3599297012302285
file_size_curve,1,C,1048576,1024,4,1.0,100,100,0.0,0.2,1024,2193,1169,1729,1396,464,333,1048576,2245632,69160,2314792,370.4000000000038,2830.928725701915,6249.438444924343,0.3693409742120458,0.2610912799592045
file_size_curve,2,A,1048576,1024,4,1.0,100,10,0.0,0.0,1024,1024,0,1024,1024,0,0,1048576,1048576,40960,1089536,5.119999999999935,204800.0000000026,212800.00000000268,0.019999999999999747,0.5
file_size_curve,2,B,1048576,1024,4,1.0,100,50,0.0,0.1,1024,1468,444,1327,1188,141,139,1048576,1503232,53080,1556312,142.19999999999948,7373.952180028156,10944.528832630138,0.13762626262626063,0.3663685152057245
file_size_curve,2,C,1048576,1024,4,1.0,100,100,0.0,0.2,1024,2124,1100,1667,1353,457,314,1048576,2174976,66680,2241656,350.00000000000296,2995.931428571403,6404.731428571375,0.36969696969697885,0.2701134265365339
file_size_curve,3,A,1048576,1024,4,1.0,100,10,0.0,0.0,1024,1024,0,1024,1024,0,0,1048576,1048576,40960,1089536,5.119999999999935,204800.0000000026,212800.00000000268,0.019999999999999747,0.5
file_size_curve,3,B,1048576,1024,4,1.0,100,50,0.0,0.1,1024,1532,508,1357,1223,175,134,1048576,1568768,54280,1623048,157.6000000000005,6653.401015228405,10298.527918781692,0.16565821749795778,0.35444790584977504
file_size_curve,3,C,1048576,1024,4,1.0,100,100,0.0,0.2,1024,2032,1008,1654,1312,378,342,1048576,2080768,66160,2146928,326.20000000000095,3214.5187001839267,6581.6309012875345,0.3179173047473235,0.277807921866522
file_size_curve,4,A,1048576,1024,4,1.0,100,10,0.0,0.0,1024,1024,0,1024,1024,0,0,1048576,1048576,40960,1089536,5.119999999999935,204800.0000000026,212800.00000000268,0.019999999999999747,0.5
