experiment,run,scenario,file_size_bytes,chunk_size_bytes,window_size,timeout_s,max_retries,delay_mean_ms,delay_std_ms,loss_probability,original_data_packets,total_data_packets,retransmitted_packets,ack_packets_sent,ack_packets_received,data_packets_lost,ack_packets_lost,useful_data_bytes,data_bytes_sent,ack_bytes_sent,total_bytes_sent,duration_s,throughput_bps,network_throughput_bps,mean_rtt_s,efficiency_ratio
jitter,1,A,524288,1024,4,1.0,100,10,0,0.0,512,512,0,512,512,0,0,524288,524288,20480,544768,2.5599999999999894,204800.00000000084,212800.00000000087,0.019999999999999917,0.5
jitter,1,B,524288,1024,4,1.0,100,50,0,0.1,512,676,164,626,570,50,56,524288,692224,25040,717264,55.899999999999686,9379.0339892666,12831.19856887306,0.1336842105263135,0.3932411674347158
jitter,1,C,524288,1024,4,1.0,100,100,0,0.2,512,980,468,781,616,199,165,524288,1003520,31240,1034760,152.99999999999875,3426.718954248394,6763.137254902016,0.3327922077921997,0.29074389551391255
jitter,2,A,524288,1024,4,1.0,100,10,0,0.0,512,512,0,512,512,0,0,524288,524288,20480,544768,2.5599999999999894,204800.00000000084,212800.00000000087,0.019999999999999917,0.5
jitter,2,B,524288,1024,4,1.0,100,50,0,0.1,512,741,229,660,585,81,75,524288,758784,26400,785184,73.69999999999953,7113.812754409814,10653.785617367774,0.13743589743589393,0.3654532476802284
jitter,2,C,524288,1024,4,1.0,100,100,0,0.2,512,1032,520,823,646,209,177,524288,1056768,32920,1089688,165.9999999999987,3158.3614457831573,6564.385542168727,0.3255813953488284,0.27601078167115906
jitter,3,A,524288,1024,4,1.0,100,10,0,0.0,512,512,0,512,512,0,0,524288,524288,20480,544768,2.5599999999999894,204800.00000000084,212800.00000000087,0.019999999999999917,0.5
jitter,3,B,524288,1024,4,1.0,100,50,0,0.1,512,756,244,677,604,79,73,524288,774144,27080,801224,76.39999999999945,6862.4083769634,10487.225130890127,0.1455298013244993,0.3572923935799023
jitter,3,C,524288,1024,4,1.0,100,100,0,0.2,512,1031,519,834,673,197,161,524288,1055744,33360,1089104,166.39999999999895,3150.7692307692505,6545.096153846195,0.3420505200594277,0.27453083109919574
jitter,4,A,524288,1024,4,1.0,100,10,0,0.0,512,512,0,512,512,0,0,524288,524288,20480,544768,2.5599999999999894,204800.00000000084,212800.00000000087,0.019999999999999917,0.5
jitter,4,B,524288,1024,4,1.0,100,50,0,0.1,512,736,224,662,591,74,71,524288,753664,26480,780144,71.1999999999996,7363.595505618018,10957.078651685453,0.13993231810490395,0.36623748211731044
jitter,4,C,524288,1024,4,1.0,100,100,0,0.2,512,938,426,775,621,163,154,524288,960512,31000,991512,143.199999999999,3661.2290502793553,6923.966480446976,0.3362318840579645,0.29889083479276124
jitter,5,A,524288,1024,4,1.0,100,10,0,0.0,512,512,0,512,512,0,0,524288,524288,20480,544768,2.5599999999999894,204800.00000000084,212800.00000000087,0.019999999999999917,0.5
jitter,5,B,524288,1024,4,1.0,100,50,0,0.1,512,744,232,671,602,73,69,524288,761856,26840,788696,72.99999999999966,7182.027397260307,10804.054794520598,0.15863787375414995,0.3618374558303887
jitter,5,C,524288,1024,4,1.0,100,100,0,0.2,512,962,450,781,615,181,166,524288,985088,31240,1016328,149.99999999999918,3495.2533333333527,6775.520000000037,0.32585365853657877,0.2937464142283419
jitter,6,A,524288,1024,4,1.0,100,10,0,0.0,512,512,0,512,512,0,0,524288,524288,20480,544768,2.5599999999999894,204800.00000000084,212800.00000000087,0.019999999999999917,0.5
jitter,6,B,524288,1024,4,1.0,100,50,0,0.1,512,761,249,686,628,75,58,524288,779264,27440,806704,78.59999999999958,6670.330788804106,10263.40966921125,0.14187898089171644,0.3538355217691776
