experiment,run,scenario,file_size_bytes,chunk_size_bytes,window_size,timeout_s,max_retries,delay_mean_ms,delay_std_ms,loss_probability,original_data_packets,total_data_packets,retransmitted_packets,ack_packets_sent,ack_packets_received,data_packets_lost,ack_packets_lost,useful_data_bytes,data_bytes_sent,ack_bytes_sent,total_bytes_sent,duration_s,throughput_bps,network_throughput_bps,mean_rtt_s,efficiency_ratio
window_sensitivity,1,A,524288,1024,1,1.0,100,10,0.0,0.0,512,512,0,512,512,0,0,524288,524288,20480,544768,10.239999999999826,51200.000000000866,53200.0000000009,0.01999999999999966,0.5
window_sensitivity,1,B,524288,1024,1,1.0,100,50,0.0,0.1,512,637,125,575,512,62,63,524288,652288,23000,675288,176.2000000000019,2975.527809307573,3832.508513053307,0.10000000000000368,0.42244224422442245
window_sensitivity,1,C,524288,1024,1,1.0,100,100,0.0,0.2,512,834,322,655,512,179,143,524288,854016,26200,880216,424.4000000000073,1235.362865221468,2074.0245051837533,0.2000000000000143,0.34385493619879115
window_sensitivity,2,A,524288,1024,1,1.0,100,10,0.0,0.0,512,512,0,512,512,0,0,524288,524288,20480,544768,10.239999999999826,51200.000000000866,53200.0000000009,0.01999999999999966,0.5
window_sensitivity,2,B,524288,1024,1,1.0,100,50,0.0,0.1,512,626,114,564,512,62,52,524288,641024,22560,663584,165.20000000000107,3173.65617433412,4016.852300242105,0.1000000000000021,0.43025210084033616
window_sensitivity,2,C,524288,1024,1,1.0,100,100,0.0,0.2,512,798,286,647,512,151,135,524288,817152,25880,843032,388.4000000000054,1349.8661174047188,2170.5252317198465,0.2000000000000105,0.3543252595155709
window_sensitivity,3,A,524288,1024,1,1.0,100,10,0.0,0.0,512,512,0,512,512,0,0,524288,524288,20480,544768,10.239999999999826,51200.000000000866,53200.0000000009,0.01999999999999966,0.5
window_sensitivity,3,B,524288,1024,1,1.0,100,50,0.0,0.1,512,652,140,584,512,68,72,524288,667648,23360,691008,191.2000000000021,2742.092050209175,3614.058577405818,0.1000000000000041,0.41423948220064727
window_sensitivity,3,C,524288,1024,1,1.0,100,100,0.0,0.2,512,790,278,636,512,154,124,524288,808960,25440,834400,380.4000000000058,1378.2544689800002,2193.4805467928163,0.20000000000001128,0.3590462833099579
window_sensitivity,4,A,524288,1024,1,1.0,100,10,0.0,0.0,512,512,0,512,512,0,0,524288,524288,20480,544768,10.239999999999826,51200.000000000866,53200.0000000009,0.01999999999999966,0.5
window_sensitivity,4,B,524288,1024,1,1.0,100,50,0.0,0.1,512,637,125,569,512,68,57,524288,652288,22760,675048,176.20000000000135,2975.527809307582,3831.1464245175644,0.10000000000000267,0.42454394693200664
window_sensitivity,4,C,524288,1024,1,1.0,100,100,0.0,0.2,512,794,282,627,512,167,115,524288,813056,25080,838136,384.4000000000052,1363.9125910509701,2180.3746097814483,0.20000000000001017,0.36030964109781843
window_sensitivity,5,A,524288,1024,1,1.0,100,10,0.0,0.0,512,512,0,512,512,0,0,524288,524288,20480,544768,10.239999999999826,51200.000000000866,53200.0000000009,0.01999999999999966,0.5
window_sensitivity,5,B,524288,1024,1,1.0,100,50,0.0,0.1,512,631,119,569,512,62,57,524288,646144,22760,668904,170.2000000000018,3080.423031727347,3930.105757931803,0.10000000000000353,0.4266666666666667
window_sensitivity,5,C,524288,1024,1,1.0,100,100,0.0,0.2,512,785,273,638,512,147,126,524288,803840,25520,829360,375.4000000000038,1396.6116142780893,2209.2701118806385,0.2000000000000074,0.35980323260716796
window_sensitivity,6,A,524288,1024,1,1.0,100,10,0.0,0.0,512,512,0,512,512,0,0,524288,524288,20480,544768,10.239999999999826,51200.000000000866,53200.0000000009,0.01999999999999966,0.5
window_sensitivity,6,B,524288,1024,1,1.0,100,50,0.0,0.1,512,634,122,578,512,56,66,524288,649216,23120,672336,173.20000000000158,3027.0669745958153,3881.8475750577013,0.1000000000000031,0.42244224422442245
window_sensitivity,6,C,524288,1024,1,1.0,100,100,0.0,0.2,512,820,308,646,512,174,134,524288,839680,25840,865520,410.4000000000061,1277.504873294328,2108.966861598409,0.20000000000001195,0.34924965893587995
window_sensitivity,7,A,524288,1024,1,1.0,100,10,0.0,0.0,512,512,0,512,512,0,0,524288,524288,20480,544768,10.239999999999826,51200.000000000866,53200.0000000009,0.01999999999999966,0.5
window_sensitivity,7,B,524288,1024,1,1.0,100,50,0.0,0.1,512,636,124,569,512,67,57,524288,651264,22760,674024,175.20000000000198,2992.5114155250803,3847.168949771646,0.10000000000000386,0.42489626556016596
window_sensitivity,7,C,524288,1024,1,1.0,100,100,0.0,0.2,512,767,255,626,512,141,114,524288,785408,25040,810448,357.4000000000041,1466.9501958589647,2267.6217123670694,0.20000000000000803,0.36755204594400576
window_sensitivity,8,A,524288,1024,1,1.0,100,10,0.0,0.0,512,512,0,512,512,0,0,524288,524288,20480,544768,10.239999999999826,51200.000000000866,53200.0000000009,0.01999999999999966,0.5
window_sensitivity,8,B,524288,1024,1,1.0,100,50,0.0,0.1,512,635,123,572,512,63,60,524288,650240,22880,673120,174.20000000000147,3009.690011481031,3864.0642939150075,0.10000000000000286,0.424192212096106
window_sensitivity,8,C,524288,1024,1,1.0,100,100,0.0,0.2,512,806,294,635,512,171,123,524288,825344,25400,850744,396.4000000000046,1322.6236125125981,2146.175580221973,0.20000000000000895,0.3553088133240805
window_sensitivity,9,A,524288,1024,1,1.0,100,10,0.0,0.0,512,512,0,512,512,0,0,524288,524288,20480,544768,10.239999999999826,51200.000000000866,53200.0000000009,0.01999999999999966,0.5
window_sensitivity,9,B,524288,1024,1,1.0,100,50,0.0,0.1,512,645,133,574,512,71,62,524288,660480,22960,683440,184.20000000000283,2846.297502714397,3710.314875135665,0.1000000000000055,0.4200164068908942
window_sensitivity,9,C,524288,1024,1,1.0,100,100,0.0,0.2,512,772,260,629,512,143,117,524288,790528,25160,815688,362.40000000000487,1446.7108167770225,2250.7947019867247,0.20000000000000948,0.3654532476802284
window_sensitivity,10,A,524288,1024,1,1.0,100,10,0.0,0.0,512,512,0,512,512,0,0,524288,524288,20480,544768,10.239999999999826,51200.000000000866,53200.0000000009,0.01999999999999966,0.5
window_sensitivity,10,B,524288,1024,1,1.0,100,50,0.0,0.1,512,626,114,564,512,62,52,524288,641024,22560,663584,165.20000000000115,3173.656174334118,4016.8523002421025,0.10000000000000225,0.43025210084033616
window_sensitivity,10,C,524288,1024,1,1.0,100,100,0.0,0.2,512,816,304,651,512,165,139,524288,835584,26040,861624,406.40000000000686,1290.0787401574585,2120.1377952755547,0.2000000000000134,0.34901158827539197
window_sensitivity,11,A,524288,1024,1,1.0,100,10,0.0,0.0,512,512,0,512,512,0,0,524288,524288,20480,544768,10.239999999999826,51200.000000000866,53200.0000000009,0.01999999999999966,0.5
window_sensitivity,11,B,524288,1024,1,1.0,100,50,0.0,0.1,512,640,128,570,512,70,58,524288,655360,22800,678160,179.20000000000175,2925.714285714257,3784.374999999963,0.1000000000000034,0.4231404958677686
window_sensitivity,11,C,524288,1024,1,1.0,100,100,0.0,0.2,512,801,289,628,512,173,116,524288,820224,25120,845344,391.40000000000555,1339.519672968811,2159.7956055186205,0.20000000000001078,0.3582925122463261
window_sensitivity,12,A,524288,1024,1,1.0,100,10,0.0,0.0,512,512,0,512,512,0,0,524288,524288,20480,544768,10.239999999999826,51200.000000000866,53200.0000000009,0.01999999999999966,0.5
window_sensitivity,12,B,524288,1024,1,1.0,100,50,0.0,0.1,512,627,115,561,512,66,49,524288,642048,22440,664488,166.20000000000127,3154.560770156414,3998.12274368228,0.10000000000000248,0.43097643097643096
window_sensitivity,12,C,524288,1024,1,1.0,100,100,0.0,0.2,512,812,300,651,512,161,139,524288,831488,26040,857528,402.4000000000068,1302.9025844930197,2131.033797216664,0.20000000000001328,0.3499658236500342
window_sensitivity,13,A,524288,1024,1,1.0,100,10,0.0,0.0,512,512,0,512,512,0,0,524288,524288,20480,544768,10.239999999999826,51200.000000000866,53200.0000000009,0.01999999999999966,0.5
window_sensitivity,13,B,524288,1024,1,1.0,100,50,0.0,0.1,512,627,115,574,512,53,62,524288,642048,22960,665008,166.20000000000073,3154.560770156424,4001.2515042117757,0.10000000000000142,0.42631140716069943
window_sensitivity,13,C,524288,1024,1,1.0,100,100,0.0,0.2,512,793,281,645,512,148,133,524288,812032,25800,837832,383.4000000000053,1367.470005216465,2185.2686489305906,0.20000000000001036,0.3560500695410292
window_sensitivity,14,A,524288,1024,1,1.0,100,10,0.0,0.0,512,512,0,512,512,0,0,524288,524288,20480,544768,10.239999999999826,51200.000000000866,53200.0000000009,0.01999999999999966,0.5
window_sensitivity,14,B,524288,1024,1,1.0,100,50,0.0,0.1,512,628,116,571,512,57,59,524288,643072,22840,665912,167.20000000000172,3135.693779904274,3982.7272727272316,0.10000000000000338,0.427022518765638
window_sensitivity,14,C,524288,1024,1,1.0,100,100,0.0,0.2,512,818,306,654,512,164,142,524288,837632,26160,863792,408.40000000000566,1283.7610186091888,2115.063663075387,0.20000000000001109,0.34782608695652173
window_sensitivity,15,A,524288,1024,1,1.0,100,10,0.0,0.0,512,512,0,512,512,0,0,524288,524288,20480,544768,10.239999999999826,51200.000000000866,53200.0000000009,0.01999999999999966,0.5
window_sensitivity,15,B,524288,1024,1,1.0,100,50,0.0,0.1,512,641,129,581,512,60,69,524288,656384,23240,679624,180.200000000002,2909.478357380656,3771.498335183088,0.1000000000000039,0.41898527004909986
window_sensitivity,15,C,524288,1024,1,1.0,100,100,0.0,0.2,512,804,292,649,512,155,137,524288,823296,25960,849256,394.4000000000052,1329.330628803228,2153.2860040567666,0.20000000000001017,0.35237439779766
window_sensitivity,16,A,524288,1024,1,1.0,100,10,0.0,0.0,512,512,0,512,512,0,0,524288,524288,20480,544768,10.239999999999826,51200.000000000866,53200.0000000009,0.01999999999999966,0.5
window_sensitivity,16,B,524288,1024,1,1.0,100,50,0.0,0.1,512,637,125,582,512,55,70,524288,652288,23280,675568,176.20000000000206,2975.5278093075704,3834.0976163450177,0.10000000000000403,0.4200164068908942
window_sensitivity,16,C,524288,1024,1,1.0,100,100,0.0,0.2,512,800,288,649,512,151,137,524288,819200,25960,845160,390.40000000000583,1342.950819672111,2164.856557377017,0.20000000000001136,0.3533471359558316
window_sensitivity,17,A,524288,1024,1,1.0,100,10,0.0,0.0,512,512,0,512,512,0,0,524288,524288,20480,544768,10.239999999999826,51200.000000000866,53200.0000000009,0.01999999999999966,0.5
window_sensitivity,17,B,524288,1024,1,1.0,100,50,0.0,0.1,512,618,106,563,512,55,51,524288,632832,22520,655352,157.2000000000009,3335.165394402017,4168.905852417279,0.10000000000000177,0.43353090601185434
window_sensitivity,17,C,524288,1024,1,1.0,100,100,0.0,0.2,512,790,278,646,512,144,134,524288,808960,25840,834800,380.40000000000447,1378.2544689800047,2194.5320715036546,0.2000000000000087,0.3565459610027855
window_sensitivity,18,A,524288,1024,1,1.0,100,10,0.0,0.0,512,512,0,512,512,0,0,524288,524288,20480,544768,10.239999999999826,51200.000000000866,53200.0000000009,0.01999999999999966,0.5
window_sensitivity,18,B,524288,1024,1,1.0,100,50,0.0,0.1,512,633,121,570,512,63,58,524288,648192,22800,670992,172.200000000002,3044.6457607432862,3896.585365853613,0.10000000000000392,0.4256026600166251
window_sensitivity,18,C,524288,1024,1,1.0,100,100,0.0,0.2,512,791,279,637,512,154,125,524288,809984,25480,835464,381.4000000000046,1374.6407970634339,2190.5191400104613,0.20000000000000895,0.3585434173669468
window_sensitivity,19,A,524288,1024,1,1.0,100,10,0.0,0.0,512,512,0,512,512,0,0,524288,524288,20480,544768,10.239999999999826,51200.000000000866,53200.0000000009,0.01999999999999966,0.5
window_sensitivity,19,B,524288,1024,1,1.0,100,50,0.0,0.1,512,641,129,571,512,70,59,524288,656384,22840,679224,180.2000000000017,2909.478357380661,3769.2785793562352,0.10000000000000331,0.42244224422442245
window_sensitivity,19,C,524288,1024,1,1.0,100,100,0.0,0.2,512,784,272,641,512,143,129,524288,802816,25640,828456,374.4000000000051,1400.3418803418613,2212.75641025638,0.20000000000000995,0.35929824561403506
window_sensitivity,20,A,524288,1024,1,1.0,100,10,0.0,0.0,512,512,0,512,512,0,0,524288,524288,20480,544768,10.239999999999826,51200.000000000866,53200.0000000009,0.01999999999999966,0.5
window_sensitivity,20,B,524288,1024,1,1.0,100,50,0.0,0.1,512,630,118,570,512,60,58,524288,645120,22800,667920,169.2000000000001,3098.628841607563,3947.5177304964513,0.10000000000000017,0.4266666666666667
window_sensitivity,20,C,524288,1024,1,1.0,100,100,0.0,0.2,512,813,301,662,512,151,150,524288,832512,26480,858992,403.40000000000487,1299.6727813584375,2129.3802677243175,0.20000000000000945,0.34711864406779663
window_sensitivity,21,A,524288,1024,1,1.0,100,10,0.0,0.0,512,512,0,512,512,0,0,524288,524288,20480,544768,10.239999999999826,51200.000000000866,53200.0000000009,0.01999999999999966,0.5
window_sensitivity,21,B,524288,1024,1,1.0,100,50,0.0,0.1,512,641,129,579,512,62,67,524288,656384,23160,679544,180.20000000000164,2909.4783573806617,3771.054384017724,0.1000000000000032,0.419672131147541
window_sensitivity,21,C,524288,1024,1,1.0,100,100,0.0,0.2,512,804,292,644,512,160,132,524288,823296,25760,849056,394.4000000000054,1329.3306288032272,2152.778904665285,0.2000000000000105,0.35359116022099446
window_sensitivity,22,A,524288,1024,1,1.0,100,10,0.0,0.0,512,512,0,512,512,0,0,524288,524288,20480,544768,10.239999999999826,51200.000000000866,53200.0000000009,0.01999999999999966,0.5
window_sensitivity,22,B,524288,1024,1,1.0,100,50,0.0,0.1,512,615,103,553,512,62,41,524288,629760,22120,651880,154.20000000000047,3400.0518806744385,4227.496757457834,0.10000000000000092,0.4383561643835616
window_sensitivity,22,C,524288,1024,1,1.0,100,100,0.0,0.2,512,823,311,632,512,191,120,524288,842752,25280,868032,413.4000000000059,1268.2341557813074,2099.7387518141936,0.20000000000001145,0.3518900343642612
window_sensitivity,23,A,524288,1024,1,1.0,100,10,0.0,0.0,512,512,0,512,512,0,0,524288,524288,20480,544768,10.239999999999826,51200.000000000866,53200.0000000009,0.01999999999999966,0.5
window_sensitivity,23,B,524288,1024,1,1.0,100,50,0.0,0.1,512,646,134,580,512,66,68,524288,661504,23200,684704,185.20000000000212,2830.9287257019114,3697.105831533435,0.10000000000000414,0.4176182707993475
window_sensitivity,23,C,524288,1024,1,1.0,100,100,0.0,0.2,512,845,333,662,512,183,150,524288,865280,26480,891760,435.4000000000072,1204.152503445088,2048.13964170874,0.20000000000001408,0.33974784339747843
window_sensitivity,24,A,524288,1024,1,1.0,100,10,0.0,0.0,512,512,0,512,512,0,0,524288,524288,20480,544768,10.239999999999826,51200.000000000866,53200.0000000009,0.01999999999999966,0.5
window_sensitivity,24,B,524288,1024,1,1.0,100,50,0.0,0.1,512,635,123,571,512,64,59,524288,650240,22840,673080,174.2000000000018,3009.690011481025,3863.8346727898565,0.10000000000000353,0.42454394693200664
window_sensitivity,24,C,524288,1024,1,1.0,100,100,0.0,0.2,512,789,277,628,512,161,116,524288,807936,25120,833056,379.4000000000044,1381.8871903004583,2195.7195571955463,0.20000000000000862,0.3613267466478476
window_sensitivity,25,A,524288,1024,1,1.0,100,10,0.0,0.0,512,512,0,512,512,0,0,524288,524288,20480,544768,10.239999999999826,51200.000000000866,53200.0000000009,0.01999999999999966,0.5
window_sensitivity,25,B,524288,1024,1,1.0,100,50,0.0,0.1,512,645,133,582,512,63,70,524288,660480,23280,683760,184.20000000000195,2846.2975027144107,3712.0521172638046,0.10000000000000382,0.4172779136104319
