run,scenario,file_size_bytes,chunk_size_bytes,window_size,timeout_s,max_retries,delay_ms,loss_probability,original_data_packets,total_data_packets,retransmitted_packets,ack_packets_sent,ack_packets_received,data_packets_lost,ack_packets_lost,useful_data_bytes,data_bytes_sent,ack_bytes_sent,total_bytes_sent,duration_s,throughput_bps,network_throughput_bps,mean_rtt_s,efficiency_ratio
1,A,524288,1024,4,1.0,100,10,0.0,512,1617,1105,1617,1617,0,0,524288,1655808,64680,1720488,282.89695152408603,1853.2826075906364,6081.677411972806,0.27979231999424603,0.1583178726035869
1,B,524288,1024,4,1.0,100,50,0.1,512,1881,1369,1708,1545,173,163,524288,1926144,68320,1994464,376.44366244329217,1392.7396110141162,5298.173934062306,0.5006512336895769,0.14265812203956535
1,C,524288,1024,4,1.0,100,100,0.2,512,2202,1690,1723,1386,479,337,524288,2254848,68920,2323768,493.7624668005529,1061.822303743021,4706.246740578294,0.7050563266411968,0.13044585987261145
2,A,524288,1024,4,1.0,100,10,0.0,512,1721,1209,1721,1721,0,0,524288,1762304,68840,1831144,309.32011237071157,1694.9689950055863,5919.899569302576,0.3050521541734023,0.14875072632190586
2,B,524288,1024,4,1.0,100,50,0.1,512,1802,1290,1618,1457,184,161,524288,1845248,64720,1909968,356.77650704854835,1469.5137982520175,5353.4018139263335,0.4800405419715852,0.1497076023391813
2,C,524288,1024,4,1.0,100,100,0.2,512,2094,1582,1666,1367,428,299,524288,2144256,66640,2210896,465.358323429338,1126.6329054488485,4750.954025507426,0.6735474573985885,0.13617021276595745
3,A,524288,1024,4,1.0,100,10,0.0,512,1521,1009,1521,1521,0,0,524288,1557504,60840,1618344,258.5615555987945,2027.7105727718033,6259.0279372822015,0.2630715668781248,0.168310322156476
3,B,524288,1024,4,1.0,100,50,0.1,512,1892,1380,1679,1509,213,170,524288,1937408,67160,2004568,378.25616483409044,1386.065975236548,5299.498557754471,0.46709555133973213,0.14337720526463177
3,C,524288,1024,4,1.0,100,100,0.2,512,2210,1698,1775,1384,435,391,524288,2263040,71000,2334040,494.33349717793953,1060.5957374789798,4721.589803896786,0.6842009060703315,0.12848180677540777
4,A,524288,1024,4,1.0,100,10,0.0,512,1643,1131,1643,1643,0,0,524288,1682432,65720,1748152,289.0453628621398,1813.8606162315746,6048.019531224173,0.2979981759587783,0.15581253804017042
4,B,524288,1024,4,1.0,100,50,0.1,512,1801,1289,1627,1460,174,167,524288,1844224,65080,1909304,354.3670759825647,1479.5053929496419,5387.927178917547,0.47159585746453386,0.14935822637106183
4,C,524288,1024,4,1.0,100,100,0.2,512,2165,1653,1739,1428,426,311,524288,2216960,69560,2286520,483.1339994849468,1085.1813380116616,4732.68286321721,0.7250012889562698,0.13114754098360656
5,A,524288,1024,4,1.0,100,10,0.0,512,1607,1095,1607,1607,0,0,524288,1645568,64280,1709848,281.00826135621355,1865.7387418777648,6084.689438480783,0.2990419408128473,0.15930304915992533
5,B,524288,1024,4,1.0,100,50,0.1,512,1762,1250,1590,1438,172,152,524288,1804288,63600,1867888,344.3184084553521,1522.6836182009845,5424.885670154954,0.4485817982378399,0.15274463007159905
5,C,524288,1024,4,1.0,100,100,0.2,512,2250,1738,1795,1455,455,340,524288,2304000,71800,2375800,508.23768437146833,1031.5803336157194,4674.584496696903,0.7619343671078135,0.1265760197775031
6,A,524288,1024,4,1.0,100,10,0.0,512,1457,945,1457,1457,0,0,524288,1491968,58280,1550248,242.39370382491742,2162.960471855724,6395.578662058625,0.257118154962646,0.1757035003431709
6,B,524288,1024,4,1.0,100,50,0.1,512,1825,1313,1652,1488,173,164,524288,1868800,66080,1934880,360.0261328876232,1456.2498444068467,5374.276540653075,0.4663983530547683,0.14725337935001437
6,C,524288,1024,4,1.0,100,100,0.2,512,2079,1567,1687,1354,392,333,524288,2128896,67480,2196376,458.6348938151541,1143.1489558910587,4788.942205704078,0.7114849511542133,0.13595326606479022
7,A,524288,1024,4,1.0,100,10,0.0,512,1746,1234,1746,1746,0,0,524288,1787904,69840,1857744,315.4128038487687,1662.2280186551366,5889.881378724037,0.3114700583465937,0.1466208476517755
7,B,524288,1024,4,1.0,100,50,0.1,512,1923,1411,1720,1540,203,180,524288,1969152,68800,2037952,388.1059032414376,1350.8890115331346,5251.020360626172,0.4763204595723211,0.14054350809772165
7,C,524288,1024,4,1.0,100,100,0.2,512,2117,1605,1661,1348,456,313,524288,2167808,66440,2234248,469.16711578460144,1117.4866744938386,4762.158141163845,0.7154615073410847,0.1355214399152991
8,A,524288,1024,4,1.0,100,10,0.0,512,1633,1121,1633,1633,0,0,524288,1672192,65320,1737512,286.9626035938395,1827.0255198202258,6054.837732303391,0.2833715461963018,0.15676668707899571
8,B,524288,1024,4,1.0,100,50,0.1,512,1838,1326,1640,1473,198,167,524288,1882112,65600,1947712,362.3749761615564,1446.8107195300884,5374.852371516013,0.45453219354002905,0.1472110408280621
8,C,524288,1024,4,1.0,100,100,0.2,512,2105,1593,1673,1277,432,396,524288,2155520,66920,2222440,463.1332829985448,1132.0456102949684,4798.704998290919,0.6816214880777309,0.1355214399152991
9,A,524288,1024,4,1.0,100,10,0.0,512,1636,1124,1636,1636,0,0,524288,1675264,65440,1740704,286.955328903537,1827.0718372902036,6066.114912907422,0.2855271973858889,0.15647921760391198
9,B,524288,1024,4,1.0,100,50,0.1,512,1856,1344,1690,1515,166,175,524288,1900544,67600,1968144,368.62370573309465,1422.2850886850329,5339.168288392859,0.49762937055190026,0.14438804286520024
9,C,524288,1024,4,1.0,100,100,0.2,512,2163,1651,1713,1394,450,319,524288,2214912,68520,2283432,481.81595376057766,1088.1499375600324,4739.220406003151,0.7226879099252901,0.13209494324045407
10,A,524288,1024,4,1.0,100,10,0.0,512,1632,1120,1632,1632,0,0,524288,1671168,65280,1736448,287.0568364998423,1826.4257573265916,6049.143511692515,0.3052816381569294,0.1568627450980392
10,B,524288,1024,4,1.0,100,50,0.1,512,1873,1361,1682,1517,191,165,524288,1917952,67280,1985232,374.56261046267406,1399.7339439523325,5300.1339283378165,0.4675972203401502,0.1440225035161744
10,C,524288,1024,4,1.0,100,100,0.2,512,2166,1654,1753,1407,413,346,524288,2217984,70120,2288104,483.3168254306375,1084.7708426721065,4734.1699680355405,0.6982491665273405,0.13064557285021688
11,A,524288,1024,4,1.0,100,10,0.0,512,1642,1130,1642,1642,0,0,524288,1681408,65680,1747088,289.07844850998003,1813.6530159974886,6043.646660638848,0.30199230712215597,0.1559074299634592
11,B,524288,1024,4,1.0,100,50,0.1,512,1857,1345,1659,1492,198,167,524288,1901568,66360,1967928,368.36983787835993,1423.2652787743336,5342.261492782243,0.47536709874844174,0.14562002275312855
11,C,524288,1024,4,1.0,100,100,0.2,512,2193,1681,1731,1395,462,336,524288,2245632,69240,2314872,490.07906078413197,1069.8028990692508,4723.466447018118,0.7682573774707877,0.1304791029561672
12,A,524288,1024,4,1.0,100,10,0.0,512,1633,1121,1633,1633,0,0,524288,1672192,65320,1737512,287.06077148317945,1826.400720973193,6052.76712322154,0.2909288954306625,0.15676668707899571
12,B,524288,1024,4,1.0,100,50,0.1,512,1773,1261,1601,1435,172,166,524288,1815552,64040,1879592,346.2809437924103,1514.0538611743589,5427.93946272361,0.45728234945765667,0.15174866627148784
12,C,524288,1024,4,1.0,100,100,0.2,512,2108,1596,1693,1337,415,356,524288,2158592,67720,2226312,466.2917333095659,1124.3776428949277,4774.5045450376365,0.7178176167436473,0.13470139436990267
13,A,524288,1024,4,1.0,100,10,0.0,512,1712,1200,1712,1712,0,0,524288,1753088,68480,1821568,306.2133716329637,1712.1655961792123,5948.688622858001,0.2983571597623495,0.14953271028037382
13,B,524288,1024,4,1.0,100,50,0.1,512,1863,1351,1678,1497,185,181,524288,1907712,67120,1974832,370.879222184797,1413.6354064579125,5324.730752956567,0.48498855478644115,0.14459192318554082
13,C,524288,1024,4,1.0,100,100,0.2,512,2063,1551,1651,1340,412,311,524288,2112512,66040,2178552,456.0673509426318,1149.5845929693608,4776.820782056021,0.6442020140643143,0.13785675821217017
14,A,524288,1024,4,1.0,100,10,0.0,512,1566,1054,1566,1566,0,0,524288,1603584,62640,1666224,270.8253636354372,1935.8895819881675,6152.392736165338,0.282906018775972,0.16347381864623245
14,B,524288,1024,4,1.0,100,50,0.1,512,1858,1346,1666,1505,192,161,524288,1902592,66640,1969232,368.51820681300296,1422.6922586379544,5343.64914295604,0.4864964463892285,0.1452894438138479
